lab_x,lab_z,dial_x,dial_z
-15.313152,-10.540746,10.343424,18.459254
-15.313152,-9.132062,10.343424,19.867938
-15.313152,-7.723632,10.343424,21.276368
-15.313152,-6.314948,10.343424,22.685052
-15.313152,-4.906264,10.343424,24.093736
-15.313152,-3.497580,10.343424,25.502420
-15.313152,-2.089150,10.343424,26.910850
-15.313152,-0.680466,10.343424,28.319534
-15.313152,0.728218,10.343424,29.728218
-15.313152,2.136902,10.343424,31.136902
-15.313152,3.545332,10.343424,32.545332
-15.313152,4.954016,10.343424,33.954016
-15.313152,6.362700,10.343424,35.362700
-15.313152,7.771384,10.343424,36.771384
-15.313152,9.179814,10.343424,38.179814
-15.313152,10.588498,10.343424,39.588498
-17.376952,-30.261559,9.311524,-1.261559
-17.376952,-28.852875,9.311524,0.147125
-17.376952,-27.444191,9.311524,1.555809
-17.376952,-26.035507,9.311524,2.964493
-17.376952,-24.627077,9.311524,4.372923
-17.376952,-23.218393,9.311524,5.781607
-17.376952,-21.809709,9.311524,7.190291
-17.376952,-20.401025,9.311524,8.598975
-17.376952,-18.992595,9.311524,10.007405
-17.376952,-17.583911,9.311524,11.416089
-17.376952,-16.175228,9.311524,12.824772
-17.376952,-14.766544,9.311524,14.233456
-17.376952,-13.358114,9.311524,15.641886
-17.376952,-11.949430,9.311524,17.050570
-17.376952,-10.540746,9.311524,18.459254
-17.376952,-9.132062,9.311524,19.867938
-17.376952,-7.723632,9.311524,21.276368
-17.376952,-6.314948,9.311524,22.685052
-17.376952,-4.906264,9.311524,24.093736
-17.376952,-3.497580,9.311524,25.502420
-17.376952,-2.089150,9.311524,26.910850
-17.376952,-0.680466,9.311524,28.319534
-17.376952,0.728218,9.311524,29.728218
-17.376952,2.136902,9.311524,31.136902
-17.376952,3.545332,9.311524,32.545332
-17.376952,4.954016,9.311524,33.954016
-17.376952,6.362700,9.311524,35.362700
-17.376952,7.771384,9.311524,36.771384
-17.376952,9.179814,9.311524,38.179814
-17.376952,10.588498,9.311524,39.588498
-19.440753,-30.261559,8.279623,-1.261559
-19.440753,-28.852875,8.279623,0.147125
-19.440753,-27.444191,8.279623,1.555809
-19.440753,-26.035507,8.279623,2.964493
-19.440753,-24.627077,8.279623,4.372923
-19.440753,-23.218393,8.279623,5.781607
-19.440753,-21.809709,8.279623,7.190291
-19.440753,-20.401025,8.279623,8.598975
-19.440753,-18.992595,8.279623,10.007405
-19.440753,-17.583911,8.279623,11.416089
-19.440753,-16.175228,8.279623,12.824772
-19.440753,-14.766544,8.279623,14.233456
-19.440753,-13.358114,8.279623,15.641886
-19.440753,-11.949430,8.279623,17.050570
-19.440753,-10.540746,8.279623,18.459254
